nome,dimensione,tempo,errore,memoria
ex15,6867,0.0093476,0.0000008619765486472471,10.607864379882813
cfd1,70656,2.6596185,0.000000000000025331547239135295,1714.1720275878906
parabolic_fem,525825,5.9929231,0.000000000002882240773789471,1667.3733673095703
apache2,715176,15.9916652,0.3454870475010348,12258.122314453125
shallow_water1,81920,0.4611814,0.0000000000000002450664551504521,170.07147216796875
G3_circuit,1585478,18.5935612,0.08561394348357482,10428.764617919922
apache2,715176,5.9259699999999995,0.3454870475010348,0
Flan_1565,1564794,204.1162225,0.8336298630677039,0
shallow_water1,81920,0.4769188,0.0000000000000002450664551504521,0
ex15,6867,0.0088241,0.0000008619765486472471,0
StocF-1465,1465137,239.2289658,0.2626051232208872,0
