nome,dimensione,tempo,errore,memoria
FIDAP/ex15,6867,0.2913424,5.631066186069124e-7,1.278900146484375
Rothberg/cfd1,70656,0.8822425,6.664898013192187e-14,316.7791748046875
MaxPlanck/shallow_water1,81920,0.0798157,2.0180657858440784e-16,28.61377716064453
Rothberg/cfd2,123440,1.3187331,2.362091740012663e-13,639.493293762207
Wissgott/parabolic_fem,525825,1.0694121,7.729933901090003e-13,330.36903381347656
GHS_psdef/apache2,715176,3.3825497,5.605795485514772e-11,1639.5935440063477
Janna/StocF-1465,1465137,197.0208776,2.4099667029338995e-10,34037.87378692627
Janna/Flan_1565,1564794,199.4980861,1.7454238971816229e-12,30587.60629272461
AMD/G3_circuit,1585478,7.3445658,4.948105327303972e-12,1829.5077819824219
