nome,dimensione,tempo,errore,memoria
ex15.mat,6867,0.022175,6.89600843237692e-07,2.94211006164551
cfd1.mat,70656,0.793503,1.07800858190962e-13,346.252931594849
shallow_water1.mat,81920,0.148824,2.35413544490123e-16,35.4892063140869
cfd2.mat,123440,1.882725,3.58944870976347e-13,689.398599624634
parabolic_fem.mat,525825,1.917802,9.80107209491296e-13,398.474969863892
apache2.mat,715176,5.724772,4.45851224113824e-11,1729.47791481018
StocF-1465.mat,1465137,3284.890621,2.80427377752042e-10,34391.9253406525
Flan_1565.mat,1564794,862.350948,8.67698417404724e-12,32365.4473438263
G3_circuit.mat,1585478,7.906114,3.93615163506486e-12,1982.69185066223
