nome,dimensione,tempo,errore,memoria
ex15.mat,6867,0.1832737,6.83705032883279e-07,2.94211006164551
cfd1.mat,70656,0.7465674,8.27664206864569e-14,346.252931594849
shallow_water1.mat,81920,0.1682759,2.3736887601939e-16,35.4892063140869
cfd2.mat,123440,1.5136903,3.30746454048133e-13,689.398599624634
parabolic_fem.mat,525825,1.7646997,1.0141260501741e-12,398.474969863892
apache2.mat,715176,5.5999901,4.40594001896816e-11,1729.47791481018
StocF-1465.mat,1465137,287.081586,2.80475380725404e-10,34391.9253406525
Flan_1565.mat,1564794,231.5502977,8.49845690437523e-12,32365.4473438263
G3_circuit.mat,1585478,6.5577737,3.54460676969902e-12,1982.69185066223
